JobTitle,PersonType,SickLeaveHours,Department,GroupName
Production Technician - WC40,EM,53,Production,Manufacturing
Production Technician - WC40,EM,55,Production,Manufacturing
Production Supervisor - WC20,EM,40,Production,Manufacturing
Production Technician - WC20,EM,24,Production,Manufacturing
Production Technician - WC20,EM,22,Production,Manufacturing
Production Technician - WC20,EM,24,Production,Manufacturing
Production Technician - WC20,EM,23,Production,Manufacturing
Production Technician - WC20,EM,20,Production,Manufacturing
Production Technician - WC20,EM,22,Production,Manufacturing
Production Technician - WC20,EM,20,Production,Manufacturing
Production Technician - WC20,EM,21,Production,Manufacturing
Production Technician - WC20,EM,21,Production,Manufacturing
Production Technician - WC20,EM,23,Production,Manufacturing
Production Supervisor - WC30,EM,54,Production,Manufacturing
Production Technician - WC30,EM,38,Production,Manufacturing
Production Technician - WC30,EM,38,Production,Manufacturing
Production Technician - WC30,EM,39,Production,Manufacturing
Production Technician - WC30,EM,39,Production,Manufacturing
Production Technician - WC30,EM,37,Production,Manufacturing
Production Technician - WC30,EM,40,Production,Manufacturing
Production Supervisor - WC20,EM,40,Production,Manufacturing
Production Technician - WC20,EM,27,Production,Manufacturing
Production Technician - WC20,EM,25,Production,Manufacturing
Production Technician - WC20,EM,28,Production,Manufacturing
Production Technician - WC20,EM,25,Production,Manufacturing
Production Technician - WC20,EM,26,Production,Manufacturing
Production Technician - WC20,EM,27,Production,Manufacturing
Production Technician - WC20,EM,26,Production,Manufacturing
Production Supervisor - WC45,EM,57,Production,Manufacturing
Production Technician - WC45,EM,57,Production,Manufacturing
Production Technician - WC45,EM,57,Production,Manufacturing
Production Technician - WC45,EM,58,Production,Manufacturing
Production Technician - WC45,EM,56,Production,Manufacturing
Production Technician - WC45,EM,58,Production,Manufacturing
Production Supervisor - WC30,EM,54,Production,Manufacturing
Production Technician - WC30,EM,32,Production,Manufacturing
Production Technician - WC30,EM,37,Production,Manufacturing
Production Technician - WC30,EM,35,Production,Manufacturing
Production Technician - WC30,EM,33,Production,Manufacturing
Production Technician - WC30,EM,36,Production,Manufacturing
Production Technician - WC30,EM,31,Production,Manufacturing
Production Technician - WC30,EM,36,Production,Manufacturing
Production Technician - WC30,EM,34,Production,Manufacturing
Production Technician - WC30,EM,31,Production,Manufacturing
Production Technician - WC30,EM,34,Production,Manufacturing
Production Technician - WC30,EM,32,Production,Manufacturing
Production Technician - WC30,EM,33,Production,Manufacturing
Production Technician - WC30,EM,35,Production,Manufacturing
Production Supervisor - WC20,EM,41,Production,Manufacturing
Production Technician - WC20,EM,30,Production,Manufacturing
Production Technician - WC20,EM,30,Production,Manufacturing
Production Technician - WC20,EM,28,Production,Manufacturing
Production Technician - WC20,EM,29,Production,Manufacturing
Production Technician - WC20,EM,29,Production,Manufacturing
Production Supervisor - WC45,EM,57,Production,Manufacturing
Production Technician - WC45,EM,59,Production,Manufacturing
Production Technician - WC45,EM,60,Production,Manufacturing
Production Technician - WC45,EM,60,Production,Manufacturing
Production Technician - WC45,EM,61,Production,Manufacturing
Production Technician - WC45,EM,59,Production,Manufacturing
Production Supervisor - WC40,EM,55,Production,Manufacturing
Production Technician - WC40,EM,46,Production,Manufacturing
Production Technician - WC40,EM,43,Production,Manufacturing
Production Technician - WC40,EM,49,Production,Manufacturing
Production Technician - WC40,EM,46,Production,Manufacturing
Production Technician - WC40,EM,44,Production,Manufacturing
Production Technician - WC40,EM,44,Production,Manufacturing
Production Technician - WC40,EM,47,Production,Manufacturing
Production Technician - WC40,EM,48,Production,Manufacturing
Production Technician - WC40,EM,47,Production,Manufacturing
Production Technician - WC40,EM,45,Production,Manufacturing
Production Technician - WC40,EM,45,Production,Manufacturing
Production Technician - WC40,EM,48,Production,Manufacturing
Production Supervisor - WC45,EM,58,Production,Manufacturing
Production Technician - WC45,EM,62,Production,Manufacturing
Production Technician - WC45,EM,62,Production,Manufacturing
Production Technician - WC45,EM,63,Production,Manufacturing
Production Technician - WC45,EM,63,Production,Manufacturing
Production Technician - WC45,EM,61,Production,Manufacturing
Quality Assurance Manager,EM,60,Quality Assurance,Quality Assurance
Quality Assurance Supervisor,EM,60,Quality Assurance,Quality Assurance
Quality Assurance Technician,EM,62,Quality Assurance,Quality Assurance
Quality Assurance Technician,EM,62,Quality Assurance,Quality Assurance
Quality Assurance Technician,EM,61,Quality Assurance,Quality Assurance
Quality Assurance Technician,EM,61,Quality Assurance,Quality Assurance
Document Control Manager,EM,58,Document Control,Quality Assurance
Control Specialist,EM,58,Document Control,Quality Assurance
Document Control Assistant,EM,59,Document Control,Quality Assurance
Document Control Assistant,EM,59,Document Control,Quality Assurance
Control Specialist,EM,57,Document Control,Quality Assurance
Master Scheduler,EM,42,Production Control,Manufacturing
Scheduling Assistant,EM,43,Production Control,Manufacturing
Scheduling Assistant,EM,42,Production Control,Manufacturing
Scheduling Assistant,EM,43,Production Control,Manufacturing
Scheduling Assistant,EM,44,Production Control,Manufacturing
Facilities Manager,EM,63,Facilities and Maintenance,Executive General and Administration
Maintenance Supervisor,EM,66,Facilities and Maintenance,Executive General and Administration
Janitor,EM,65,Facilities and Maintenance,Executive General and Administration
Janitor,EM,64,Facilities and Maintenance,Executive General and Administration
Janitor,EM,65,Facilities and Maintenance,Executive General and Administration
Janitor,EM,64,Facilities and Maintenance,Executive General and Administration
Facilities Administrative Assistant,EM,63,Facilities and Maintenance,Executive General and Administration
Chief Financial Officer,EM,20,Executive,Executive General and Administration
Human Resources Manager,EM,47,Human Resources,Executive General and Administration
Human Resources Administrative Assistant,EM,46,Human Resources,Executive General and Administration
Human Resources Administrative Assistant,EM,46,Human Resources,Executive General and Administration
Recruiter,EM,45,Human Resources,Executive General and Administration
Benefits Specialist,EM,45,Human Resources,Executive General and Administration
Recruiter,EM,44,Human Resources,Executive General and Administration
Accounts Manager,EM,48,Finance,Executive General and Administration
Accounts Receivable Specialist,EM,50,Finance,Executive General and Administration
Accounts Receivable Specialist,EM,50,Finance,Executive General and Administration
Accounts Receivable Specialist,EM,51,Finance,Executive General and Administration
Accountant,EM,49,Finance,Executive General and Administration
Accounts Payable Specialist,EM,51,Finance,Executive General and Administration
Accounts Payable Specialist,EM,52,Finance,Executive General and Administration
Accountant,EM,49,Finance,Executive General and Administration
Finance Manager,EM,47,Finance,Executive General and Administration
Purchasing Manager,EM,44,Purchasing,Inventory Management
Buyer,EM,49,Purchasing,Inventory Management
Buyer,EM,50,Purchasing,Inventory Management
Buyer,EM,48,Purchasing,Inventory Management
Buyer,EM,48,Purchasing,Inventory Management
Buyer,EM,46,Purchasing,Inventory Management
Buyer,EM,49,Purchasing,Inventory Management
Buyer,EM,47,Purchasing,Inventory Management
Buyer,EM,46,Purchasing,Inventory Management
Buyer,EM,47,Purchasing,Inventory Management
Purchasing Assistant,EM,45,Purchasing,Inventory Management
Purchasing Assistant,EM,45,Purchasing,Inventory Management
Assistant to the Chief Financial Officer,EM,48,Finance,Executive General and Administration
Information Services Manager,EM,52,Information Services,Executive General and Administration
Network Manager,EM,54,Information Services,Executive General and Administration
Network Administrator,EM,55,Information Services,Executive General and Administration
Network Administrator,EM,54,Information Services,Executive General and Administration
Application Specialist,EM,57,Information Services,Executive General and Administration
Application Specialist,EM,56,Information Services,Executive General and Administration
Application Specialist,EM,56,Information Services,Executive General and Administration
Database Administrator,EM,53,Information Services,Executive General and Administration
Database Administrator,EM,53,Information Services,Executive General and Administration
Application Specialist,EM,55,Information Services,Executive General and Administration
Vice President of Sales,EM,25,Sales,Sales and Marketing
North American Sales Manager,SP,27,Sales,Sales and Marketing
Sales Representative,SP,39,Sales,Sales and Marketing
Sales Representative,SP,33,Sales,Sales and Marketing
Sales Representative,SP,32,Sales,Sales and Marketing
Sales Representative,SP,36,Sales,Sales and Marketing
Sales Representative,SP,34,Sales,Sales and Marketing
Sales Representative,SP,31,Sales,Sales and Marketing
Sales Representative,SP,33,Sales,Sales and Marketing
Sales Representative,SP,35,Sales,Sales and Marketing
Sales Representative,SP,31,Sales,Sales and Marketing
Sales Representative,SP,39,Sales,Sales and Marketing
Pacific Sales Manager,SP,30,Sales,Sales and Marketing
Sales Representative,SP,38,Sales,Sales and Marketing
European Sales Manager,SP,30,Sales,Sales and Marketing
Sales Representative,SP,37,Sales,Sales and Marketing
Sales Representative,SP,38,Sales,Sales and Marketing
Sales Representative,SP,37,Sales,Sales and Marketing
